sale_order_code,order_number,order_date,packing_date,invoice_number,product_sku_code,order_item_status,promised_delivery_date,actual_delivery_date,return_date,restocked_date,return_type,promised_settlement_date,currency,seller_paid_amount,postpaid_amount,prepaid_amount,mrp,discount_amount,shipping_case,tax_rate,igst_amount,cgst_amount,sgst_amount,tcs_igst_amt,tcs_sgst_amt,tcs_cgst_amt,minimum_commission,commission_pct,commission_total_amount,total_commission_plus_tcs_deduction_fw,logistics_deduction_fw,customer_paid_amt_fw,total_settlement_fw,amount_pending_settlement_fw,prepaid_commission_deduction_fw,prepaid_logistics_deduction_fw,prepaid_payment_fw,postpaid_commission_deduction_fw,postpaid_logistics_deduction_fw,postpaid_payment_fw,settlement_date_prepaid_comm_deduction_fw,settlement_date_prepaid_logistics_deduction_fw,settlement_date_prepaid_payment_fw,settlement_date_postpaid_comm_deduction_fw,settlement_date_postpaid_logistics_deduction_fw,settlement_date_postpaid_payment_fw,bank_utr_no_prepaid_comm_deduction_fw,bank_utr_no_prepaid_logistics_deduction_fw,bank_utr_no_prepaid_payment_fw,bank_utr_no_postpaid_comm_deduction_fw,bank_utr_no_postpaid_logistics_deduction_fw,bank_utr_no_postpaid_payment_fw,total_commission_plus_tcs_deduction_rv,logistics_deduction_rv,customer_paid_amt_rv,total_settlement_rv,amount_pending_settlement_rv,prepaid_commission_deduction_rv,prepaid_logistics_deduction_rv,prepaid_payment_rv,postpaid_commission_deduction_rv,postpaid_logistics_deduction_rv,postpaid_payment_rv,settlement_date_prepaid_comm_deduction_rv,settlement_date_prepaid_logistics_deduction_rv,settlement_date_prepaid_payment_rv,settlement_date_postpaid_comm_deduction_rv,settlement_date_postpaid_logistics_deduction_rv,settlement_date_postpaid_payment_rv,bank_utr_no_prepaid_comm_deduction_rv,bank_utr_no_prepaid_logistics_deduction_rv,bank_utr_no_prepaid_payment_rv,bank_utr_no_postpaid_comm_deduction_rv,bank_utr_no_postpaid_logistics_deduction_rv,bank_utr_no_postpaid_payment_rv,courier_name,e_commerce_portal_name,hsn,product_tax_category,payment_method,brand,gender,article_type,supply_type,is_try_and_buy,tracking_no,customer_name,customer_pincode,customer_state,igst_rate,cgst_rate,sgst_rate,taxable_amount,tcs_igst_rate,tcs_sgst_rate,tcs_cgst_rate,shipping_amount,gift_amount,cart_discount,coupon_discount,seller_gstn,seller_name,seller_state_code,additional_amount,postpaid_amount_other,prepaid_amount_other,myntra_gstn,party_id_to,Item_Code,Item_Created_On,Item_Updated_On,Item_Status,GRN_Number,GRN_Created,Vendor_Code,Facility,Item_Type_Name,_MRP,Item_Type_skuCode,Vendor_skuCode,Unit_price_without_tax,Unit_price_with_tax,Rejection_Reason,Gate_Pass_No,Gate_Pass_Type,Gate_Pass_Status,Gate_Pass_Created,HSN_Code,_Invoice_Number,_Invoice_Date,PO_Type,PO_Code,PO_Created,Sale_Order_status,Myntra_Status_OGP,Vendor_Style_Code,ASN_code,ASN_created,ASN_packed,ASN_picked,gta_fees,FOCI_supply_type,Total_Customer_Paid
8617280043,1.30707E+20,2025-08-14T22:57:05.000+05:30,8/18/25 7:46,I2926EH000000498,BXOYSHRC111339960,delivered,8/23/25 3:00,8/20/25 19:32,,,,,INR,1555,1555,0,2290,541,Intra-State,18,0,118.6,118.6,0,3.2945,3.2945,0,17.7,275.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myntra Designs Pvt Ltd,39269099,Home,,BOXJOY,Unisex,Shoe Rack,ON_HAND,FALSE,2.19143E+14,3cb98a46.6a7a.4b1a.93bc.6aa1edef631891qiXJoyXB,573201,KA,0,9,9,1317.8,0,0.25,0.25,0,0,,300,29AAHCE3037B1ZY,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,KA,300,0,0,29AAECM9636P1ZJ,24769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,ON_HAND,1749
8625635509,1.3076E+20,2025-08-21T00:53:38.000+05:30,8/21/25 7:13,I2926EH000000530,BXOYSHRC111339971,reverse_in_transit,8/30/25 3:00,,8/27/25 0:00,,release_rto_refund,,INR,2345,164.712,2180.288,3590,1015,Inter-State,18,357.71,0,0,9.93645,0,0,0,17.7,415.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myntra Designs Pvt Ltd,39269099,Home,,BOXJOY,Unisex,Shoe Rack,ON_HAND,FALSE,2.19143E+14,5e237868.7c52.4dcc.8209.7863155176eaeBbdEKyDkL,140301,PB,18,0,0,1987.29,0.5,0,0,0,0,,150,29AAHCE3037B1ZY,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,KA,150,0,0,29AAECM9636P1ZJ,24769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,ON_HAND,2575
8630256199,1.30783E+20,2025-08-23T17:29:09.000+05:30,8/26/25 7:07,I2926EH000000732,PTISRLON115557864,delivered,9/3/25 3:00,8/29/25 23:30,,,,,INR,175.01,0,175,299,65,Inter-State,18,26.7,0,0,0.74155,0,0,0,9.44,16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myntra Designs Pvt Ltd,33049990,Personal Care,,PROWL by Tiger Shroff,Unisex,Roll-Ons,ON_HAND,FALSE,2.19143E+14,a19bf47d.3608.4879.8f86.6f500f75cdeeKswnAAGTIh,382449,GJ,18,0,0,148.31,0.5,0,0,0,0,,0,29AAHCE3037B1ZY,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,KA,0,0,0,29AAECM9636P1ZJ,24769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,ON_HAND,234.01
8630476364,1.30784E+20,2025-08-23T20:21:20.000+05:30,8/26/25 7:07,I2926EH000000765,PTISBWSG115557266,delivered,9/2/25 3:00,8/30/25 20:25,,,,,INR,234.01,234,0,359,66,Inter-State,18,35.7,0,0,0.99155,0,0,0,9.44,22.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myntra Designs Pvt Ltd,33049930,Personal Care,,PROWL by Tiger Shroff,Unisex,Body Wash and Shower Gel,ON_HAND,FALSE,2.19143E+14,1c35519f.3be9.4eb0.8ab4.0c7684c5062cun3G0zdRfw,325205,RJ,18,0,0,198.31,0.5,0,0,0,0,,0,29AAHCE3037B1ZY,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,KA,0,0,0,29AAECM9636P1ZJ,24769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,ON_HAND,293.01
8630657657,1.30785E+20,2025-08-23T22:32:33.000+05:30,8/26/25 7:07,I2926EH000000764,PTISRLON115557864,delivered,8/31/25 3:00,8/28/25 18:37,,,,,INR,175.01,0,175,299,65,Inter-State,18,26.7,0,0,0.74155,0,0,0,9.44,16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myntra Designs Pvt Ltd,33049990,Personal Care,,PROWL by Tiger Shroff,Unisex,Roll-Ons,ON_HAND,FALSE,2.19143E+14,5677576d.865d.4b2c.9bc6.a5ea77384dabf6X1n7pdFl,603102,TN,18,0,0,148.31,0.5,0,0,0,0,,0,29AAHCE3037B1ZY,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,KA,0,0,0,29AAECM9636P1ZJ,24769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,ON_HAND,234.01
8631586950,1.30791E+20,2025-08-24T16:11:37.000+05:30,8/28/25 8:03,I2926EH000000914,PTISRLON115557864,in_transit,9/4/25 3:00,,,,,,INR,175.01,175,0,299,65,Inter-State,18,26.7,0,0,0.74155,0,0,0,9.44,16.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myntra Designs Pvt Ltd,33049990,Personal Care,,PROWL by Tiger Shroff,Unisex,Roll-Ons,ON_HAND,FALSE,2.19143E+14,9cd1bafc.c741.4150.969a.4c624b07b1ffGQvQDPDAtO,110018,DL,18,0,0,148.31,0.5,0,0,0,0,,0,29AAHCE3037B1ZY,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,KA,0,0,0,29AAECM9636P1ZJ,24769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59,ON_HAND,234.01
8631627055,1.30791E+20,2025-08-24T16:41:40.000+05:30,8/28/25 8:02,I2926EH000000854,BXOYSHRC111339960,in_transit,9/5/25 3:00,,,,,,INR,1555,168.714,1386.286,2290,541,Inter-State,18,237.2,0,0,6.589,0,0,0,17.7,275.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myntra Designs Pvt Ltd,39269099,Home,,BOXJOY,Unisex,Shoe Rack,ON_HAND,FALSE,2.19143E+14,e171ae2a.d0ca.4062.a36b.bced9e69fd3aMNE1oYQNU3,110071,DL,18,0,0,1317.8,0.5,0,0,0,0,,150,29AAHCE3037B1ZY,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,KA,150,0,0,29AAECM9636P1ZJ,24769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,ON_HAND,1749
8598401528,1.30611E+20,2025-08-03T19:33:16.000+05:30,8/4/25 7:47,I2926EH000000299,BXOYSHRC111339955,delivered,8/8/25 3:00,8/6/25 23:51,,,,,INR,1781,1781,0,2690,715,Intra-State,18,0,135.84,135.84,0,3.7733,3.7733,0,17.7,315.237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myntra Designs Pvt Ltd,39269099,Home,,BOXJOY,Unisex,Shoe Rack,ON_HAND,FALSE,2.19143E+14,3b2d2fb3.4b7e.4362.8366.be9e8f5bf5f94IHScLjY0u,560076,KA,0,9,9,1509.32,0,0.25,0.25,0,0,,300,29AAHCE3037B1ZY,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,KA,300,0,0,29AAECM9636P1ZJ,24769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,ON_HAND,1975
8605616111,1.30644E+20,2025-08-07T16:31:22.000+05:30,8/8/25 7:20,I2926EH000000353,BXOYSHRC111339971,reverse_in_transit,8/15/25 3:00,,8/9/25 0:00,,release_rto_refund,,INR,2345,2345,0,3590,1015,Inter-State,18,357.71,0,0,9.93645,0,0,0,17.7,415.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myntra Designs Pvt Ltd,39269099,Home,,BOXJOY,Unisex,Shoe Rack,ON_HAND,FALSE,2.19143E+14,a9bf67e8.9ebf.4365.9db9.d1fce6a3b527DsEu9b4BOh,411048,MH,18,0,0,1987.29,0.5,0,0,0,0,,0,29AAHCE3037B1ZY,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,KA,0,0,0,29AAECM9636P1ZJ,24769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,ON_HAND,2575
8611211320,1.30672E+20,2025-08-10T22:28:06.000+05:30,8/11/25 7:46,I2926EH000000374,BXOYSHRC111339960,delivered,8/18/25 3:00,8/13/25 16:52,,,,,INR,1555,337.428,1217.572,2290,541,Intra-State,18,0,118.6,118.6,0,3.2945,3.2945,0,17.7,275.235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Myntra Designs Pvt Ltd,39269099,Home,,BOXJOY,Unisex,Shoe Rack,ON_HAND,FALSE,2.19143E+14,046033ea.80ee.4f96.8ec0.f4a4084d3864NQBloh9yHb,560034,KA,0,9,9,1317.8,0,0.25,0.25,0,0,,300,29AAHCE3037B1ZY,EVERYTHING BEAUTIFUL RETAIL PRIVATE LIMITED,KA,300,0,0,29AAECM9636P1ZJ,24769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,194,ON_HAND,1749
